Origin,OriginState,Dest,DestState,CRSDepTime,CRSElapsedTime,Marketing_Airline_Network
ORD,IL,SAN,CA,917,260.0,UA
LAX,CA,OGG,HI,900,346.0,UA
BOS,MA,DEN,CO,1156,273.0,UA
IAH,TX,MCO,FL,930,146.0,UA
TUL,OK,IAH,TX,648,95.0,UA
SMF,CA,DEN,CO,1616,144.0,UA
BNA,TN,EWR,NJ,711,138.0,UA
BOS,MA,ORD,IL,1018,167.0,UA
ORD,IL,PIT,PA,1040,93.0,UA
TPA,FL,ORD,IL,745,178.0,UA
DEN,CO,LAX,CA,1001,150.0,UA
DEN,CO,IAH,TX,1218,142.0,UA
DEN,CO,LAX,CA,1340,150.0,UA
IAH,TX,DEN,CO,828,152.0,UA
EWR,NJ,BOS,MA,1409,77.0,UA
SRQ,FL,EWR,NJ,1014,171.0,UA
AUS,TX,IAD,VA,1200,195.0,UA
EWR,NJ,LAX,CA,830,344.0,UA
FAI,AK,ORD,IL,2122,357.0,UA
DEN,CO,SJC,CA,814,158.0,UA
HNL,HI,SFO,CA,2230,301.0,UA
MEM,TN,EWR,NJ,1352,164.0,UA
BNA,TN,EWR,NJ,1750,140.0,UA
BWI,MD,DEN,CO,1619,231.0,UA
BOS,MA,EWR,NJ,1303,88.0,UA
IAH,TX,IND,IN,1953,137.0,UA
LAX,CA,IAH,TX,1307,208.0,UA
EWR,NJ,DEN,CO,700,252.0,UA
JAX,FL,EWR,NJ,1937,141.0,UA
ORD,IL,JAX,FL,1252,151.0,UA
DEN,CO,HNL,HI,1145,437.0,UA
HNL,HI,DEN,CO,1945,401.0,UA
IAH,TX,SAT,TX,1839,63.0,UA
IAD,VA,AUS,TX,833,200.0,UA
DFW,TX,ORD,IL,700,152.0,UA
ORD,IL,BNA,TN,1035,94.0,UA
IAD,VA,MCO,FL,825,139.0,UA
MCO,FL,IAH,TX,1156,150.0,UA
RDU,NC,IAD,VA,600,69.0,UA
ORD,IL,DCA,VA,1105,117.0,UA
DEN,CO,ORD,IL,2104,154.0,UA
AUS,TX,IAD,VA,1646,196.0,UA
AUS,TX,EWR,NJ,1803,233.0,UA
ORD,IL,CLE,OH,743,80.0,UA
BTV,VT,ORD,IL,615,142.0,UA
HNL,HI,SFO,CA,700,301.0,UA
SFO,CA,LAS,NV,1649,104.0,UA
DEN,CO,CLT,NC,952,196.0,UA
EWR,NJ,LAS,NV,1312,329.0,UA
RSW,FL,EWR,NJ,829,180.0,UA
BOS,MA,EWR,NJ,1628,91.0,UA
EWR,NJ,LAS,NV,2114,332.0,UA
BNA,TN,DEN,CO,700,172.0,UA
DEN,CO,BOI,ID,1917,115.0,UA
DEN,CO,AUS,TX,1757,132.0,UA
BDL,CT,DEN,CO,752,258.0,UA
DEN,CO,BOS,MA,801,245.0,UA
DEN,CO,SFO,CA,745,159.0,UA
SFO,CA,SNA,CA,1041,98.0,UA
SNA,CA,ORD,IL,1403,248.0,UA
DFW,TX,IAD,VA,1149,176.0,UA
COS,CO,ORD,IL,1128,147.0,UA
ORD,IL,ATL,GA,1820,125.0,UA
ORD,IL,LGA,NY,1600,152.0,UA
AUS,TX,DEN,CO,545,136.0,UA
ORD,IL,BTV,VT,1807,129.0,UA
SEA,WA,ORD,IL,1106,244.0,UA
DEN,CO,LAS,NV,1122,118.0,UA
IAD,VA,BOS,MA,2219,100.0,UA
LAX,CA,IAD,VA,1317,303.0,UA
CID,IA,ORD,IL,643,68.0,UA
ORD,IL,DEN,CO,1036,164.0,UA
CLE,OH,IAH,TX,1124,176.0,UA
ORD,IL,SFO,CA,855,277.0,UA
CLE,OH,EWR,NJ,1342,91.0,UA
CHS,SC,EWR,NJ,1356,124.0,UA
ATL,GA,DEN,CO,846,198.0,UA
SFO,CA,SNA,CA,1323,97.0,UA
DEN,CO,DFW,TX,1348,121.0,UA
TPA,FL,DEN,CO,828,231.0,UA
DFW,TX,SFO,CA,747,229.0,UA
SFO,CA,RDM,OR,1045,100.0,UA
ORD,IL,FCA,MT,858,225.0,UA
DCA,VA,IAH,TX,1940,193.0,UA
BOS,MA,LAX,CA,1825,372.0,UA
BOS,MA,IAH,TX,1354,251.0,UA
DEN,CO,MCO,FL,1548,222.0,UA
SNA,CA,DEN,CO,1112,145.0,UA
IAD,VA,SEA,WA,1732,349.0,UA
ORD,IL,IAD,VA,1316,117.0,UA
RSW,FL,ORD,IL,730,194.0,UA
ATL,GA,ORD,IL,1559,131.0,UA
ORD,IL,MDT,PA,1819,112.0,UA
AUS,TX,EWR,NJ,1651,233.0,UA
EWR,NJ,ORD,IL,1305,155.0,UA
ORD,IL,CHS,SC,1828,138.0,UA
CLE,OH,EWR,NJ,715,94.0,UA
ATL,GA,IAD,VA,931,108.0,UA
DEN,CO,EUG,OR,1120,162.0,UA
STL,MO,DEN,CO,918,136.0,UA
FLL,FL,IAD,VA,1316,156.0,UA
ORD,IL,FLL,FL,714,190.0,UA
DEN,CO,TPA,FL,1725,218.0,UA
EWR,NJ,RSW,FL,1300,181.0,UA
BOS,MA,LAX,CA,840,372.0,UA
BUF,NY,EWR,NJ,604,85.0,UA
BNA,TN,SFO,CA,1841,282.0,UA
EWR,NJ,RDU,NC,1657,105.0,UA
FLL,FL,IAH,TX,1329,170.0,UA
EWR,NJ,DTW,MI,834,119.0,UA
MCI,MO,ORD,IL,800,97.0,UA
DTW,MI,DEN,CO,1533,185.0,UA
BUF,NY,ORD,IL,700,105.0,UA
ORD,IL,MCI,MO,849,96.0,UA
SFO,CA,HNL,HI,1405,321.0,UA
IAH,TX,MSY,LA,1649,74.0,UA
SFO,CA,IAH,TX,905,239.0,UA
ORD,IL,AUS,TX,854,166.0,UA
SFO,CA,SAN,CA,2218,98.0,UA
DEN,CO,GEG,WA,1117,141.0,UA
EWR,NJ,DFW,TX,1000,222.0,UA
CHS,SC,EWR,NJ,1955,124.0,UA
IAD,VA,SMF,CA,1756,344.0,UA
MSY,LA,IAD,VA,1245,153.0,UA
SMF,CA,ORD,IL,2310,246.0,UA
ATL,GA,IAH,TX,1714,136.0,UA
CLE,OH,DEN,CO,1041,199.0,UA
DEN,CO,BWI,MD,15,213.0,UA
AUS,TX,EWR,NJ,600,222.0,UA
SFO,CA,BNA,TN,2330,268.0,UA
AUS,TX,EWR,NJ,715,224.0,UA
ATL,GA,EWR,NJ,640,139.0,UA
DEN,CO,ANC,AK,1902,334.0,UA
JAX,FL,ORD,IL,1139,156.0,UA
ORD,IL,DEN,CO,1435,165.0,UA
IAH,TX,MSY,LA,2159,74.0,UA
IAD,VA,SFO,CA,700,341.0,UA
BZN,MT,DEN,CO,1437,103.0,UA
IAH,TX,RDU,NC,1222,162.0,UA
SFO,CA,IAH,TX,500,239.0,UA
ATL,GA,ORD,IL,1844,137.0,UA
ABQ,NM,SFO,CA,1600,148.0,UA
DEN,CO,IAD,VA,601,208.0,UA
IAD,VA,RDU,NC,1253,72.0,UA
ABQ,NM,ORD,IL,1256,175.0,UA
SAN,CA,DEN,CO,1130,150.0,UA
DEN,CO,MCO,FL,1749,222.0,UA
ONT,CA,DEN,CO,1331,142.0,UA
AUS,TX,LAX,CA,747,188.0,UA
EWR,NJ,PBI,FL,1457,181.0,UA
IAH,TX,HNL,HI,1010,490.0,UA
ORF,VA,IAH,TX,600,181.0,UA
HNL,HI,IAH,TX,1955,466.0,UA
BWI,MD,LAX,CA,757,330.0,UA
ABQ,NM,DEN,CO,1337,83.0,UA
CLT,NC,ORD,IL,700,124.0,UA
MSN,WI,DEN,CO,1055,150.0,UA
ORD,IL,MSN,WI,903,57.0,UA
SFO,CA,ABQ,NM,1120,147.0,UA
SNA,CA,SFO,CA,645,104.0,UA
CLT,NC,IAD,VA,1957,83.0,UA
DEN,CO,TPA,FL,1615,219.0,UA
SJC,CA,DEN,CO,1054,160.0,UA
LAS,NV,SFO,CA,801,97.0,UA
BNA,TN,EWR,NJ,1936,143.0,UA
BNA,TN,IAH,TX,1650,130.0,UA
IAH,TX,MAF,TX,1957,87.0,UA
CLE,OH,ORD,IL,700,90.0,UA
ORD,IL,DCA,VA,805,114.0,UA
OMA,NE,DEN,CO,924,98.0,UA
BOS,MA,IAH,TX,742,245.0,UA
ATL,GA,DEN,CO,1630,207.0,UA
EWR,NJ,SAV,GA,1900,139.0,UA
MSN,WI,ORD,IL,1102,61.0,UA
ORD,IL,EWR,NJ,1245,135.0,UA
LGA,NY,ORD,IL,1405,159.0,UA
SFO,CA,MCO,FL,2306,331.0,UA
ORD,IL,HNL,HI,955,542.0,UA
HNL,HI,ORD,IL,1715,483.0,UA
LAX,CA,ORD,IL,1735,246.0,UA
HNL,HI,SFO,CA,2323,315.0,UA
DEN,CO,BNA,TN,814,156.0,UA
ABQ,NM,DEN,CO,711,86.0,UA
ATL,GA,SFO,CA,1953,304.0,UA
AUS,TX,ORD,IL,1246,170.0,UA
ORD,IL,SYR,NY,1820,114.0,UA
ATL,GA,EWR,NJ,1545,146.0,UA
DEN,CO,ATL,GA,750,177.0,UA
SFO,CA,PDX,OR,1313,109.0,UA
ATL,GA,ORD,IL,630,126.0,UA
ORD,IL,CLE,OH,1103,80.0,UA
CLT,NC,ORD,IL,1917,128.0,UA
CHS,SC,JFK,NY,1850,130.0,B6
LAS,NV,LAX,CA,1820,71.0,B6
FLL,FL,DCA,VA,926,154.0,B6
BOS,MA,RIC,VA,1930,103.0,B6
MCO,FL,JFK,NY,1933,175.0,B6
PVD,RI,PBI,FL,1538,187.0,B6
PBI,FL,PVD,RI,1203,170.0,B6
MCO,FL,HPN,NY,1810,172.0,B6
PHX,AZ,BOS,MA,2222,295.0,B6
BOS,MA,PHX,AZ,1850,340.0,B6
LAX,CA,JFK,NY,2359,338.0,B6
BOS,MA,JFK,NY,746,74.0,B6
JFK,NY,BOS,MA,600,66.0,B6
BOS,MA,MIA,FL,1548,213.0,B6
ATL,GA,JFK,NY,1850,150.0,B6
BOS,MA,MVY,MA,1225,41.0,B6
BOS,MA,LGA,NY,1800,87.0,B6
BOS,MA,SFO,CA,709,383.0,B6
DTW,MI,BOS,MA,859,108.0,B6
JFK,NY,MVY,MA,939,69.0,B6
MVY,MA,JFK,NY,1125,64.0,B6
ACK,MA,BOS,MA,1429,51.0,B6
BOS,MA,ACK,MA,1605,52.0,B6
BOS,MA,DCA,VA,1600,112.0,B6
PBI,FL,HPN,NY,730,177.0,B6
LGA,NY,FLL,FL,600,179.0,B6
EWR,NJ,LAX,CA,610,340.0,B6
LAX,CA,EWR,NJ,1322,336.0,B6
LGA,NY,PWM,ME,1930,75.0,B6
PWM,ME,LGA,NY,635,83.0,B6
BOS,MA,LAX,CA,2145,374.0,B6
LAX,CA,BOS,MA,1021,352.0,B6
JFK,NY,FLL,FL,1459,203.0,B6
FLL,FL,JFK,NY,905,180.0,B6
JFK,NY,DTW,MI,2154,123.0,B6
DTW,MI,JFK,NY,707,106.0,B6
MSY,LA,FLL,FL,935,122.0,B6
FLL,FL,MSY,LA,745,122.0,B6
BOS,MA,LGA,NY,1900,86.0,B6
LGA,NY,BOS,MA,2015,80.0,B6
BOS,MA,AUS,TX,640,248.0,B6
HPN,NY,TPA,FL,800,176.0,B6
BOS,MA,MCO,FL,1845,194.0,B6
RIC,VA,BOS,MA,1620,103.0,B6
JFK,NY,MCO,FL,1530,183.0,B6
BOS,MA,PIT,PA,910,105.0,B6
PIT,PA,BOS,MA,646,94.0,B6
JFK,NY,DEN,CO,940,263.0,B6
DEN,CO,JFK,NY,1254,246.0,B6
JFK,NY,SFO,CA,1058,382.0,B6
LAX,CA,JFK,NY,1510,337.0,B6
EWR,NJ,MCO,FL,1531,184.0,B6
JFK,NY,RSW,FL,1008,189.0,B6
RSW,FL,JFK,NY,639,170.0,B6
JFK,NY,MVY,MA,1310,66.0,B6
MVY,MA,JFK,NY,1455,68.0,B6
LAS,NV,JFK,NY,2235,295.0,B6
DCA,VA,BOS,MA,800,95.0,B6
BOS,MA,DCA,VA,800,101.0,B6
BOS,MA,SAT,TX,735,257.0,B6
SAT,TX,BOS,MA,1147,253.0,B6
LAX,CA,EWR,NJ,2200,328.0,B6
DCA,VA,FLL,FL,1600,164.0,B6
MCO,FL,JFK,NY,715,166.0,B6
MCO,FL,BUF,NY,1610,168.0,B6
JFK,NY,FLL,FL,1300,194.0,B6
JFK,NY,BUF,NY,929,87.0,B6
JFK,NY,BOS,MA,1345,78.0,B6
BTV,VT,JFK,NY,1105,81.0,B6
JFK,NY,BTV,VT,900,79.0,B6
BOS,MA,DCA,VA,1000,102.0,B6
JFK,NY,BNA,TN,1753,168.0,B6
BNA,TN,JFK,NY,2024,148.0,B6
JFK,NY,JAX,FL,1559,171.0,B6
JAX,FL,JFK,NY,1935,152.0,B6
FLL,FL,DCA,VA,1119,160.0,B6
RDU,NC,JFK,NY,1655,105.0,B6
LAX,CA,FLL,FL,750,323.0,B6
JFK,NY,BOS,MA,1925,90.0,B6
JFK,NY,ATL,GA,1530,162.0,B6
MIA,FL,BOS,MA,2006,202.0,B6
JFK,NY,LAX,CA,2159,372.0,B6
SLC,UT,LAX,CA,1940,111.0,B6
LAX,CA,SLC,UT,1600,109.0,B6
SFO,CA,BOS,MA,1505,336.0,B6
BOS,MA,CLT,NC,1454,151.0,B6
CLT,NC,BOS,MA,1810,139.0,B6
LGA,NY,PBI,FL,1930,179.0,B6
EWR,NJ,LAX,CA,850,362.0,B6
LAX,CA,EWR,NJ,715,331.0,B6
LGA,NY,MCO,FL,1755,182.0,B6
FLL,FL,JFK,NY,2110,175.0,B6
BNA,TN,BOS,MA,940,157.0,B6
BOS,MA,BNA,TN,709,166.0,B6
EWR,NJ,RSW,FL,1300,175.0,B6
RSW,FL,EWR,NJ,1650,177.0,B6
JFK,NY,LAX,CA,2040,375.0,B6
SAT,TX,JFK,NY,1527,243.0,B6
BOS,MA,SFO,CA,950,400.0,B6
DCA,VA,BOS,MA,900,93.0,B6
BOS,MA,DCA,VA,1200,105.0,B6
RSW,FL,LGA,NY,906,174.0,B6
LGA,NY,RSW,FL,1359,204.0,B6
EWR,NJ,LAX,CA,2005,358.0,B6
LAX,CA,EWR,NJ,1007,345.0,B6
FLL,FL,DCA,VA,1809,170.0,B6
BOS,MA,RDU,NC,940,124.0,B6
BUF,NY,JFK,NY,1135,84.0,B6
FLL,FL,JFK,NY,1322,190.0,B6
DCA,VA,FLL,FL,1255,168.0,B6
LGA,NY,DEN,CO,1400,261.0,B6
DCA,VA,BOS,MA,1030,95.0,B6
HYA,MA,JFK,NY,1651,69.0,B6
JFK,NY,HYA,MA,1458,77.0,B6
DCA,VA,FLL,FL,1807,159.0,B6
BUF,NY,JFK,NY,605,82.0,B6
BOS,MA,MCO,FL,600,182.0,B6
MCO,FL,BOS,MA,1940,184.0,B6
BUF,NY,BOS,MA,912,85.0,B6
FLL,FL,ORH,MA,1208,192.0,B6
MCO,FL,DCA,VA,601,129.0,B6
MCO,FL,EWR,NJ,852,165.0,B6
BOS,MA,IAH,TX,945,252.0,B6
DTW,MI,BOS,MA,1430,114.0,B6
CLE,OH,BOS,MA,1109,103.0,B6
BOS,MA,CLE,OH,834,118.0,B6
BOS,MA,MCO,FL,845,192.0,B6
MCO,FL,BOS,MA,1329,191.0,B6
JFK,NY,PBI,FL,1700,191.0,B6
BOS,MA,DCA,VA,1700,113.0,B6
RSW,FL,LGA,NY,1819,180.0,B6
LGA,NY,RSW,FL,2029,195.0,B6
BOS,MA,RSW,FL,1240,214.0,B6
RSW,FL,BOS,MA,1701,203.0,B6
FLL,FL,BOS,MA,1115,205.0,B6
EWR,NJ,LAX,CA,1751,359.0,B6
LGA,NY,BNA,TN,900,154.0,B6
BNA,TN,LGA,NY,1109,140.0,B6
JFK,NY,ACK,MA,1133,71.0,B6
MIA,FL,JFK,NY,2112,186.0,B6
JFK,NY,MIA,FL,1710,197.0,B6
BUF,NY,JFK,NY,839,80.0,B6
FLL,FL,JFK,NY,1552,188.0,B6
SFO,CA,JFK,NY,1040,350.0,B6
LGA,NY,MSY,LA,2025,202.0,B6
SAN,CA,BOS,MA,2010,329.0,B6
HPN,NY,ACK,MA,859,62.0,B6
ACK,MA,HPN,NY,1857,63.0,B6
JFK,NY,LAX,CA,800,357.0,B6
LAX,CA,JFK,NY,2030,330.0,B6
JFK,NY,RSW,FL,2142,191.0,B6
PBI,FL,JFK,NY,1535,177.0,B6
DEN,CO,LGA,NY,1006,229.0,B6
LGA,NY,DEN,CO,655,254.0,B6
TPA,FL,EWR,NJ,2059,165.0,B6
JFK,NY,RNO,NV,2000,369.0,B6
RDU,NC,BOS,MA,1514,121.0,B6
BOS,MA,PIT,PA,1642,113.0,B6
MCO,FL,EWR,NJ,2148,160.0,B6
BOS,MA,SEA,WA,755,380.0,B6
JFK,NY,FLL,FL,1100,188.0,B6
FLL,FL,JFK,NY,1836,184.0,B6
BOS,MA,BUF,NY,700,89.0,B6
CHS,SC,LAX,CA,748,312.0,B6
LAX,CA,CHS,SC,2125,301.0,B6
JFK,NY,MCI,MO,1530,203.0,B6
MCI,MO,JFK,NY,936,173.0,B6
JFK,NY,LAX,CA,1205,359.0,B6
BOS,MA,MKE,WI,715,154.0,B6
MKE,WI,BOS,MA,1700,133.0,B6
IAH,TX,BOS,MA,1814,233.0,B6
BOS,MA,IAH,TX,1412,247.0,B6
BOS,MA,MCO,FL,1600,203.0,B6
DCA,VA,BOS,MA,1230,96.0,B6
BOS,MA,DCA,VA,1800,112.0,B6
BOS,MA,PHL,PA,1625,105.0,B6
BOS,MA,CHS,SC,700,142.0,B6
CHS,SC,BOS,MA,1017,137.0,B6
BOS,MA,FLL,FL,600,200.0,B6
EWR,NJ,TPA,FL,2030,174.0,B6
TPA,FL,EWR,NJ,724,163.0,B6
PVD,RI,MCO,FL,1812,184.0,B6
MCO,FL,PVD,RI,1427,173.0,B6
BOS,MA,AVL,NC,1115,144.0,B6
AVL,NC,BOS,MA,1420,145.0,B6
BOS,MA,RDU,NC,1240,119.0,B6
PIT,PA,BOS,MA,1140,95.0,B6
JFK,NY,ACK,MA,1318,76.0,B6
EWR,NJ,MIA,FL,730,179.0,B6
LGA,NY,ACK,MA,1200,71.0,B6
BOS,MA,JFK,NY,1337,80.0,B6
FLL,FL,SLC,UT,1950,307.0,B6
SLC,UT,FLL,FL,2359,278.0,B6
LGA,NY,JAX,FL,1725,162.0,B6
LAS,NV,JFK,NY,2354,294.0,B6
BOS,MA,MCI,MO,625,206.0,B6
MCI,MO,BOS,MA,1850,179.0,B6
MIA,FL,JFK,NY,1522,197.0,B6
LGA,NY,CHS,SC,659,129.0,B6
BOS,MA,BUF,NY,1505,92.0,B6
SFO,CA,JFK,NY,1530,341.0,B6
BOS,MA,PBI,FL,805,198.0,B6
DCA,VA,MCO,FL,700,142.0,B6
MCO,FL,DCA,VA,1455,147.0,B6
LGA,NY,BOS,MA,915,80.0,B6
DCA,VA,BOS,MA,1330,100.0,B6
PHL,PA,BOS,MA,1855,94.0,B6
BUF,NY,FLL,FL,1820,179.0,B6
FLL,FL,BUF,NY,1432,183.0,B6
JFK,NY,CHS,SC,1539,145.0,B6
CHS,SC,JFK,NY,1050,125.0,B6
ACK,MA,DCA,VA,1105,94.0,B6
DCA,VA,ACK,MA,1530,90.0,B6
SEA,WA,BOS,MA,1225,323.0,B6
FLL,FL,LAX,CA,2129,330.0,B6
ATL,GA,LGA,NY,2029,146.0,B6
LGA,NY,ATL,GA,2040,144.0,B6
JFK,NY,SYR,NY,2139,83.0,B6
MSY,LA,LGA,NY,826,184.0,B6
DCA,VA,MCO,FL,2000,141.0,B6
MCO,FL,EWR,NJ,1110,170.0,B6
SLC,UT,LAX,CA,1031,119.0,B6
LAX,CA,SLC,UT,630,106.0,B6
DCA,VA,BOS,MA,1430,103.0,B6
BOS,MA,DCA,VA,600,97.0,B6
MVY,MA,LGA,NY,1848,72.0,B6
LGA,NY,MVY,MA,1629,71.0,B6
BOS,MA,LAS,NV,800,343.0,B6
JFK,NY,MCO,FL,1800,185.0,B6
MCO,FL,JFK,NY,850,160.0,B6
JFK,NY,MIA,FL,1130,187.0,B6
MIA,FL,EWR,NJ,1122,195.0,B6
JFK,NY,BUF,NY,2000,98.0,B6
ATL,GA,LGA,NY,1642,142.0,B6
LGA,NY,ATL,GA,1705,154.0,B6
JFK,NY,SFO,CA,2140,378.0,B6
RDU,NC,FLL,FL,639,126.0,B6
FLL,FL,RDU,NC,2059,125.0,B6
TPA,FL,BDL,CT,1824,173.0,B6
HPN,NY,CHS,SC,1130,137.0,B6
CHS,SC,HPN,NY,1720,135.0,B6
MVY,MA,HPN,NY,1353,67.0,B6
HPN,NY,MVY,MA,1545,60.0,B6
JFK,NY,FLL,FL,630,176.0,B6
ATL,GA,LGA,NY,644,136.0,B6
LGA,NY,ATL,GA,810,146.0,B6
BUF,NY,BOS,MA,1428,88.0,B6
JFK,NY,BOS,MA,800,72.0,B6
JFK,NY,TPA,FL,940,178.0,B6
SFO,CA,LAX,CA,1230,95.0,B6
LGA,NY,SAV,GA,1340,144.0,B6
SAV,GA,LGA,NY,1649,125.0,B6
DCA,VA,BOS,MA,1830,98.0,B6
HYA,MA,LGA,NY,1224,76.0,B6
LGA,NY,HYA,MA,1030,69.0,B6
BOS,MA,RDU,NC,1820,129.0,B6
FLL,FL,LAX,CA,820,328.0,B6
JFK,NY,BUF,NY,630,78.0,B6
TPA,FL,LGA,NY,1650,173.0,B6
ATL,GA,LGA,NY,1139,141.0,B6
LGA,NY,ATL,GA,1325,152.0,B6
LAX,CA,JFK,NY,545,335.0,B6
TPA,FL,JFK,NY,1323,172.0,B6
LGA,NY,BOS,MA,700,76.0,B6
SFO,CA,LAX,CA,714,86.0,B6
LAX,CA,SFO,CA,938,82.0,B6
MCO,FL,JFK,NY,1609,173.0,B6
LAX,CA,MIA,FL,1025,323.0,B6
MIA,FL,LAX,CA,1958,318.0,B6
JFK,NY,FLL,FL,1642,207.0,B6
MCO,FL,DCA,VA,1234,141.0,B6
BOS,MA,MCO,FL,1437,200.0,B6
MCO,FL,BOS,MA,1840,185.0,B6
LAX,CA,MIA,FL,2045,321.0,B6
MIA,FL,LAX,CA,700,314.0,B6
ATL,GA,DFW,TX,1742,144.0,DL
DFW,TX,ATL,GA,1520,134.0,DL
MEM,TN,ATL,GA,1200,86.0,DL
ATL,GA,LAX,CA,1640,276.0,DL
JFK,NY,SFO,CA,900,380.0,DL
SFO,CA,JFK,NY,1335,354.0,DL
JFK,NY,LAX,CA,1700,370.0,DL
BOS,MA,DFW,TX,730,248.0,DL
DFW,TX,BOS,MA,1135,239.0,DL
HNL,HI,MSP,MN,1715,465.0,DL
JFK,NY,LAX,CA,2215,360.0,DL
SEA,WA,RDU,NC,1542,298.0,DL
HNL,HI,SEA,WA,1305,360.0,DL
SEA,WA,HNL,HI,825,373.0,DL
KOA,HI,LAX,CA,2050,318.0,DL
LAX,CA,KOA,HI,1651,334.0,DL
JFK,NY,SLC,UT,2000,341.0,DL
ANC,AK,MSP,MN,1256,319.0,DL
MSP,MN,ANC,AK,850,356.0,DL
JFK,NY,DFW,TX,1759,245.0,DL
ATL,GA,LAX,CA,704,276.0,DL
LAX,CA,DTW,MI,540,273.0,DL
ATL,GA,SNA,CA,1118,267.0,DL
SNA,CA,ATL,GA,1356,271.0,DL
LAX,CA,ATL,GA,2145,265.0,DL
DTW,MI,SLC,UT,640,231.0,DL
BOS,MA,ATL,GA,1550,175.0,DL
ATL,GA,ONT,CA,1005,258.0,DL
ONT,CA,ATL,GA,1240,267.0,DL
ATL,GA,SFO,CA,1015,306.0,DL
SFO,CA,ATL,GA,1346,288.0,DL
CVG,KY,SEA,WA,1800,293.0,DL
ATL,GA,BOS,MA,705,160.0,DL
OGG,HI,SEA,WA,2159,341.0,DL
DEN,CO,MSP,MN,1840,120.0,DL
ATL,GA,DCA,VA,2145,108.0,DL
SEA,WA,ANC,AK,1758,220.0,DL
LAX,CA,JFK,NY,700,345.0,DL
SLC,UT,JFK,NY,932,299.0,DL
LAX,CA,ATL,GA,1705,270.0,DL
SLC,UT,ATL,GA,50,220.0,DL
DFW,TX,LGA,NY,600,216.0,DL
SLC,UT,ATL,GA,1345,226.0,DL
JFK,NY,PHX,AZ,1845,347.0,DL
ATL,GA,PHX,AZ,2055,234.0,DL
BOS,MA,SEA,WA,1105,387.0,DL
SEA,WA,BOS,MA,2323,327.0,DL
BOS,MA,SEA,WA,1855,394.0,DL
LIH,HI,SEA,WA,2030,349.0,DL
SEA,WA,LIH,HI,1550,370.0,DL
BOS,MA,SEA,WA,640,387.0,DL
ATL,GA,DEN,CO,833,192.0,DL
DEN,CO,ATL,GA,1055,181.0,DL
HNL,HI,SLC,UT,2000,365.0,DL
SEA,WA,JFK,NY,723,337.0,DL
LAX,CA,JFK,NY,2230,345.0,DL
ATL,GA,BOS,MA,1305,167.0,DL
LAX,CA,LIH,HI,1515,357.0,DL
LIH,HI,LAX,CA,2145,334.0,DL
SFO,CA,JFK,NY,720,360.0,DL
ANC,AK,MSP,MN,600,320.0,DL
JFK,NY,SLC,UT,645,314.0,DL
LAX,CA,OGG,HI,815,353.0,DL
OGG,HI,LAX,CA,1233,327.0,DL
ATL,GA,DCA,VA,1945,117.0,DL
MCO,FL,ATL,GA,530,90.0,DL
DTW,MI,SFO,CA,2045,308.0,DL
SEA,WA,MSP,MN,811,212.0,DL
DTW,MI,SFO,CA,833,305.0,DL
TPA,FL,SEA,WA,1750,350.0,DL
BOS,MA,ATL,GA,1201,167.0,DL
SEA,WA,MSP,MN,600,200.0,DL
ATL,GA,SAN,CA,1758,269.0,DL
BOS,MA,DTW,MI,2000,133.0,DL
LAX,CA,ATL,GA,1215,273.0,DL
HNL,HI,LAX,CA,700,336.0,DL
DTW,MI,SAN,CA,1215,275.0,DL
SAN,CA,DTW,MI,1500,260.0,DL
LGA,NY,ATL,GA,1259,160.0,DL
LAS,NV,ATL,GA,829,245.0,DL
BNA,TN,SEA,WA,730,305.0,DL
ATL,GA,DFW,TX,1558,142.0,DL
DFW,TX,ATL,GA,1830,137.0,DL
MSP,MN,CLE,OH,717,110.0,DL
BOS,MA,ATL,GA,1337,169.0,DL
ATL,GA,LAX,CA,1540,283.0,DL
PNS,FL,ATL,GA,702,79.0,DL
LAS,NV,JFK,NY,705,323.0,DL
DCA,VA,LAX,CA,1710,339.0,DL
LAX,CA,DCA,VA,745,315.0,DL
LAX,CA,ATL,GA,950,278.0,DL
ATL,GA,LAX,CA,2235,275.0,DL
DTW,MI,SEA,WA,630,297.0,DL
MSP,MN,RAP,SD,2155,99.0,DL
BOS,MA,ATL,GA,1853,177.0,DL
DEN,CO,BOS,MA,35,245.0,DL
IAH,TX,LGA,NY,1059,221.0,DL
DTW,MI,LAX,CA,859,291.0,DL
ATL,GA,DEN,CO,2114,196.0,DL
ATL,GA,DCA,VA,715,105.0,DL
DCA,VA,ATL,GA,1010,107.0,DL
CVG,KY,LAX,CA,615,275.0,DL
SLC,UT,ATL,GA,700,220.0,DL
LAX,CA,ATL,GA,1345,276.0,DL
ATL,GA,DTW,MI,2303,115.0,DL
SLC,UT,HNL,HI,1155,400.0,DL
DFW,TX,LGA,NY,1635,227.0,DL
LGA,NY,DFW,TX,1235,239.0,DL
SLC,UT,JFK,NY,2340,288.0,DL
SFO,CA,DTW,MI,2210,279.0,DL
DFW,TX,ATL,GA,519,130.0,DL
MSP,MN,LGA,NY,1016,163.0,DL
SFO,CA,DTW,MI,525,271.0,DL
SFO,CA,DTW,MI,1430,272.0,DL
RAP,SD,MSP,MN,530,94.0,DL
ATL,GA,BZN,MT,1020,244.0,DL
BZN,MT,ATL,GA,1334,230.0,DL
ATL,GA,SLC,UT,2254,245.0,DL
ATL,GA,JFK,NY,715,146.0,DL
